date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
13-Mar,134.61,134.61,132.72,133.26,4265162099,0,133.26,133.71,-0.0293,137.69,-0.0336,142.4,0.017,140,0.0045,139.37,-0.0082,40.3,135.7,137.93,138.64,138.78,138.77,138.74,56.69
14-Mar,133.2,135.18,132.75,133.71,4476532147,0,133.71,137.69,-0.0336,142.4,0.017,140,0.0045,139.37,-0.0082,140.52,-0.0012,41.57,140.04,140.03,140,140.5,140.01,140.01,56.8
15-Mar,133.57,138.4,133.57,137.69,4506861856,0,137.69,142.4,0.017,140,0.0045,139.37,-0.0082,140.52,-0.0012,140.69,0.0292,50.63,141.2,140.59,140.6,140.23,140.45,140.03,56.12
16-Mar,137.91,144.56,137.91,142.4,4839003569,1,142.4,140,0.0045,139.37,-0.0082,140.52,-0.0012,140.69,0.0292,136.64,-0.004,46.62,139.69,139.96,139.44,139.96,140.15,139.1,56.39
17-Mar,142.24,142.37,139.32,140,3827157729,1,140,139.37,-0.0082,140.52,-0.0012,140.69,0.0292,136.64,-0.004,137.18,-0.0077,44.44,139.95,140.19,138.88,140.36,139.3,138.8,50.02
18-Mar,140.1,142.27,138.84,139.37,4551739879,0,139.37,140.52,-0.0012,140.69,0.0292,136.64,-0.004,137.18,-0.0077,138.24,0.0091,22.79,140.6,139.28,138.65,139.03,138.64,138.46,49.93
19-Mar,139.25,140.99,139.14,140.52,4251488129,0,140.52,140.69,0.0292,136.64,-0.004,137.18,-0.0077,138.24,0.0091,136.99,0.0144,27.13,138.66,138.17,137.95,137.66,138.02,137.59,39.19
20-Mar,140.48,140.95,138.31,140.69,4664134462,1,140.69,136.64,-0.004,137.18,-0.0077,138.24,0.0091,136.99,0.0144,135.03,-0.0032,26.08,136.91,137.35,136.82,137.5,137.3,136.59,45.28
21-Mar,140.48,141,135.86,136.64,5087247796,0,136.64,137.18,-0.0077,138.24,0.0091,136.99,0.0144,135.03,-0.0032,135.46,-0.04,22.59,137.71,137.47,136.58,137.53,136.84,137.31,37.04
22-Mar,136.56,138.79,136.23,137.18,4490899266,0,137.18,138.24,0.0091,136.99,0.0144,135.03,-0.0032,135.46,-0.04,140.99,0.0112,22.86,137.61,136.75,137.34,136.46,136.31,137.71,35.19
23-Mar,137.04,139.39,136.91,138.24,4436568613,1,138.24,136.99,0.0144,135.03,-0.0032,135.46,-0.04,140.99,0.0112,139.42,-0.0219,17.85,136.01,135.83,137.58,135.59,137.13,138.34,28.81
24-Mar,138.32,138.38,136.31,136.99,4266845458,1,136.99,135.03,-0.0032,135.46,-0.04,140.99,0.0112,139.42,-0.0219,142.5,0.0028,13.62,135.25,137.16,138.68,137.59,137.9,139.08,22.96
25-Mar,137.08,137.7,133.49,135.03,4480516753,0,135.03,135.46,-0.04,140.99,0.0112,139.42,-0.0219,142.5,0.0028,142.09,0.0041,19.14,138.22,138.62,140.09,139.25,139.87,140.13,28.57
26-Mar,135.05,135.46,133.76,135.46,4499271679,0,135.46,140.99,0.0112,139.42,-0.0219,142.5,0.0028,142.09,0.0041,141.51,-0.0022,20.48,140.2,140.97,141.3,140.96,141.27,141.37,27.19
27-Mar,135.45,141.08,135.34,140.99,5228240093,1,140.99,139.42,-0.0219,142.5,0.0028,142.09,0.0041,141.51,-0.0022,141.83,-0.145,31.85,140.96,141.34,141.47,141.72,141.51,144.99,34.79
28-Mar,141.01,141.01,138.43,139.42,4163212475,0,139.42,142.5,0.0028,142.09,0.0041,141.51,-0.0022,141.83,-0.145,163.96,0.0154,34,142.3,142.03,146.38,141.94,141.95,148.64,41.15
29-Mar,139.34,142.55,138.05,142.5,5125602702,1,142.5,142.09,0.0041,141.51,-0.0022,141.83,-0.145,163.96,0.0154,161.46,0.0213,33.83,141.8,141.81,150.17,141.76,147.7,151.11,40.43
30-Mar,142.36,149.61,141.03,142.09,5144662127,1,142.09,141.51,-0.0022,141.83,-0.145,163.96,0.0154,161.46,0.0213,158.05,-0.0461,31.74,141.67,149.1,153.36,150.62,152.9,154.83,35.92
31-Mar,142.14,142.19,140.7,141.51,4249050197,0,141.51,141.83,-0.145,163.96,0.0154,161.46,0.0213,158.05,-0.0461,165.51,-0.0026,37.35,152.9,155.75,158.16,158.53,157.29,158.76,40.14
1-Apr,141.47,142.73,140.74,141.83,4611999536,0,141.83,163.96,0.0154,161.46,0.0213,158.05,-0.0461,165.51,-0.0026,165.95,-0.0504,47.04,162.71,161.16,162.99,160.6,162.13,164.87,39.52
2-Apr,141.84,165.23,141.64,163.96,9826645698,1,163.96,161.46,0.0213,158.05,-0.0461,165.51,-0.0026,165.95,-0.0504,174.53,-0.0323,45.43,159.76,161.68,165.1,161.72,162.83,167.38,41.12
3-Apr,164.01,178.32,157.32,161.46,10622456246,1,161.46,158.05,-0.0461,165.51,-0.0026,165.95,-0.0504,174.53,-0.0323,180.26,0.0233,37.6,161.78,163.17,168.86,164.2,166.54,169.59,32.3
4-Apr,161.43,164.93,155.24,158.05,7953123529,0,158.05,165.51,-0.0026,165.95,-0.0504,174.53,-0.0323,180.26,0.0233,176.11,-0.0069,42.71,165.73,168.66,172.47,169.29,171.97,172.97,32.44
5-Apr,158.02,167.22,157.44,165.51,7531316908,0,165.51,165.95,-0.0504,174.53,-0.0323,180.26,0.0233,176.11,-0.0069,177.34,0.0691,43.01,170.24,173.58,174.84,175.11,174.76,172.99,32.65
6-Apr,165.51,172.52,161.8,165.95,7167016221,0,165.95,174.53,-0.0323,180.26,0.0233,176.11,-0.0069,177.34,0.0691,165.5,0.0046,54.4,177.4,176.97,174.75,177.46,177.23,173.14,39.67
7-Apr,165.98,175.21,164.93,174.53,7596176020,0,174.53,180.26,0.0233,176.11,-0.0069,177.34,0.0691,165.5,0.0046,164.74,0.0014,58.91,178.19,177.9,172.79,177.43,174.44,171.76,40.38
8-Apr,174.45,184.38,174.16,180.26,9304964610,1,180.26,176.11,-0.0069,177.34,0.0691,165.5,0.0046,164.74,0.0014,164.51,-0.02,55.39,176.73,172.98,169.64,172.36,170.58,169.61,30.87
9-Apr,180.22,180.25,175.09,176.11,7632529578,0,176.11,177.34,0.0691,165.5,0.0046,164.74,0.0014,164.51,-0.02,167.84,0.038,62.06,171.42,169.19,167.98,167.56,167.4,167.33,39.44
10-Apr,176.07,183.13,175.23,177.34,7856924879,1,177.34,165.5,0.0046,164.74,0.0014,164.51,-0.02,167.84,0.038,161.57,-0.0368,61.68,165.12,164.92,164.83,164.8,165.66,165.31,38.69
11-Apr,177.34,177.49,162.32,165.5,7859383417,1,165.5,164.74,0.0014,164.51,-0.02,167.84,0.038,161.57,-0.0368,167.62,0.004,58.67,164.62,165.7,165.26,165.89,164.66,165.51,37.65
12-Apr,165.34,166.13,161.03,164.74,6237185309,1,164.74,164.51,-0.02,167.84,0.038,161.57,-0.0368,167.62,0.004,166.95,-0.0403,56.05,166.18,164.64,165.7,164.67,165.45,166.95,37.28
13-Apr,164.62,166.36,163.01,164.51,4959301561,0,164.51,167.84,0.038,161.57,-0.0368,167.62,0.004,166.95,-0.0403,173.81,0.0006,60.97,164.71,165.68,167.56,165.25,165.87,168.56,43.34
14-Apr,164.48,168.59,162.78,167.84,4846298303,1,167.84,161.57,-0.0368,167.62,0.004,166.95,-0.0403,173.81,0.0006,173.71,-0.0002,57.26,164.6,165.38,168.73,166.14,167.89,169.25,43.51
15-Apr,167.9,168.82,159.56,161.57,5672311824,0,161.57,167.62,0.004,166.95,-0.0403,173.81,0.0006,173.71,-0.0002,173.75,0.0216,56.09,167.29,169.46,171.17,169.83,170.72,170.85,43.46
16-Apr,161.53,167.67,160.89,167.62,5180105341,1,167.62,166.95,-0.0403,173.81,0.0006,173.71,-0.0002,173.75,0.0216,170.05,-0.0107,56.74,170.38,171.49,171.65,172.4,172.4,171.5,43.03
17-Apr,167.55,168.94,165.5,166.95,5596102715,0,166.95,173.81,0.0006,173.71,-0.0002,173.75,0.0216,170.05,-0.0107,171.87,0.0025,64.64,173.76,173.76,172.64,173.75,172.76,172.5,43.03
18-Apr,166.91,175.37,166.67,173.81,6971581464,1,173.81,173.71,-0.0002,173.75,0.0216,170.05,-0.0107,171.87,0.0025,171.45,0.0333,56.31,173.73,172.5,172.17,172.26,172.25,171.21,43.68
19-Apr,173.79,173.98,170.62,173.71,6541053061,0,173.71,173.75,0.0216,170.05,-0.0107,171.87,0.0025,171.45,0.0333,165.83,0.071,59.82,171.9,171.89,170.59,171.52,171.65,168.13,51.7
20-Apr,173.72,176.71,171.79,173.75,6142567812,1,173.75,170.05,-0.0107,171.87,0.0025,171.45,0.0333,165.83,0.071,154.46,-0.0121,57.11,170.96,171.12,166.73,171.34,169.78,165.2,51.81
21-Apr,173.72,174.42,167.43,170.05,6005571688,0,170.05,171.87,0.0025,171.45,0.0333,165.83,0.071,154.46,-0.0121,156.35,-0.0133,49.28,171.66,169.72,163.99,169.28,165.5,163.42,52.01
22-Apr,170.02,173.07,168.73,171.87,6094878077,1,171.87,171.45,0.0333,165.83,0.071,154.46,-0.0121,156.35,-0.0133,158.43,0.0072,51.47,168.64,163.91,161.3,162.4,161.39,161.07,51.19
23-Apr,172.01,176.85,170.9,171.45,7097827092,1,171.45,165.83,0.071,154.46,-0.0121,156.35,-0.0133,158.43,0.0072,157.3,0.0134,45.05,160.14,158.88,158.47,157.49,158.3,158.24,51.93
24-Apr,171.35,171.57,161.98,165.83,7351304156,1,165.83,154.46,-0.0121,156.35,-0.0133,158.43,0.0072,157.3,0.0134,155.2,-0.0439,30.71,155.4,156.41,156.35,156.8,156.78,157.2,44.23
